1,WC-1930,1,T-81
2,WC-1930,2,T-03
3,WC-1930,3,T-80
4,WC-1930,4,T-84
5,WC-1934,1,T-39
6,WC-1934,2,T-20
7,WC-1934,3,T-29
8,WC-1934,4,T-05
9,WC-1938,1,T-39
10,WC-1938,2,T-34
11,WC-1938,3,T-09
12,WC-1938,4,T-72
13,WC-1950,1,T-81
14,WC-1950,2,T-09
15,WC-1950,3,T-72
16,WC-1950,4,T-71
17,WC-1954,1,T-83
18,WC-1954,2,T-34
19,WC-1954,3,T-05
20,WC-1954,4,T-81
21,WC-1958,1,T-09
22,WC-1958,2,T-72
23,WC-1958,3,T-28
24,WC-1958,4,T-83
25,WC-1962,1,T-09
26,WC-1962,2,T-20
27,WC-1962,3,T-13
28,WC-1962,4,T-84
29,WC-1966,1,T-27
30,WC-1966,2,T-83
31,WC-1966,3,T-56
32,WC-1966,4,T-70
33,WC-1970,1,T-09
34,WC-1970,2,T-39
35,WC-1970,3,T-83
36,WC-1970,4,T-81
37,WC-1974,1,T-83
38,WC-1974,2,T-46
39,WC-1974,3,T-55
40,WC-1974,4,T-09
41,WC-1978,1,T-03
42,WC-1978,2,T-46
43,WC-1978,3,T-09
44,WC-1978,4,T-39
45,WC-1982,1,T-39
46,WC-1982,2,T-83
47,WC-1982,3,T-55
48,WC-1982,4,T-28
49,WC-1986,1,T-03
50,WC-1986,2,T-83
51,WC-1986,3,T-28
52,WC-1986,4,T-06
53,WC-1990,1,T-83
54,WC-1990,2,T-03
55,WC-1990,3,T-39
56,WC-1990,4,T-27
57,WC-1994,1,T-09
58,WC-1994,2,T-39
59,WC-1994,3,T-72
60,WC-1994,4,T-10
61,WC-1998,1,T-28
62,WC-1998,2,T-09
63,WC-1998,3,T-17
64,WC-1998,4,T-46
65,WC-2002,1,T-09
66,WC-2002,2,T-29
67,WC-2002,3,T-77
68,WC-2002,4,T-69
69,WC-2006,1,T-39
70,WC-2006,2,T-28
71,WC-2006,3,T-29
72,WC-2006,4,T-56
73,WC-2010,1,T-71
74,WC-2010,2,T-46
75,WC-2010,3,T-29
76,WC-2010,4,T-81
77,WC-2014,1,T-29
78,WC-2014,2,T-03
79,WC-2014,3,T-46
80,WC-2014,4,T-09
81,WC-2018,1,T-28
82,WC-2018,2,T-17
83,WC-2018,3,T-06
84,WC-2018,4,T-27
85,WC-2022,1,T-03
86,WC-2022,2,T-28
87,WC-2022,3,T-17
88,WC-2022,4,T-45
